item,reason
9029,no-data
9039,no-data
9041,no-data
9038,no-data
9043,no-data
9044,no-data
9040,no-data
9051,no-data
9054,no-data
9055,no-data
9057,no-data
9058,no-data
9056,no-data
9059,no-data
9062,no-data
9050,no-data
9063,no-data
9052,no-data
9064,no-data
9067,no-data
9068,no-data
9053,no-data
9065,no-data
9069,no-data
9072,no-data
9073,no-data
9070,no-data
9071,no-data
9066,no-data
9075,no-data
9077,no-data
9079,no-data
9080,no-data
9081,no-data
9078,no-data
9082,no-data
9076,no-data
9084,no-data
9074,no-data
9087,no-data
9101,no-data
9103,no-data
9102,no-data
9094,no-data
9099,no-data
9104,no-data
9105,no-data
9123,no-data
9124,no-data
9095,no-data
9125,no-data
9127,no-data
9129,no-data
9097,no-data
9131,no-data
9128,no-data
9132,no-data
9126,no-data
9133,no-data
9134,no-data
9135,no-data
9130,no-data
9136,no-data
9138,no-data
9139,no-data
9137,no-data
9140,no-data
9142,no-data
9143,no-data
9147,no-data
9141,no-data
9150,no-data
9146,no-data
9148,no-data
9151,no-data
9145,no-data
9152,no-data
9159,no-data
9157,no-data
9160,no-data
9158,no-data
9156,no-data
9163,no-data
9164,no-data
9166,no-data
9165,no-data
9162,no-data
9171,no-data
9178,no-data
9181,no-data
9185,no-data
9186,no-data
9177,no-data
9191,no-data
9193,no-data
9188,no-data
9174,no-data
9190,no-data
9194,no-data
9195,no-data
9196,no-data
9198,no-data
9200,no-data
9201,no-data
9202,no-data
9203,no-data
9205,no-data
9192,no-data
9204,no-data
9207,no-data
9208,no-data
9199,no-data
9222,no-data
9220,no-data
9219,no-data
9223,no-data
9225,no-data
9227,no-data
9229,no-data
9217,no-data
9218,no-data
9228,no-data
9230,no-data
9221,no-data
9231,no-data
9226,no-data
9239,no-data
9232,no-data
9276,no-data
9332,no-data
9355,no-data
9335,no-data
9336,no-data
9356,no-data
9421,no-data
9529,no-data
9532,no-data
9539,no-data
9540,no-data
9541,no-data
9659,no-data
9681,no-data
9700,no-data
9702,no-data
9701,no-data
9888,no-data
10006,no-data
10010,no-data
10011,no-data
10020,no-data
10032,no-data
10037,no-data
10038,no-data
10039,no-data
10284,no-data
10290,no-data
10303,no-data
10304,no-data
10313,no-data
10319,no-data
10324,no-data
10419,no-data
10422,no-data
10451,no-data
10452,no-data
10453,no-data
10448,no-data
10555,no-data
10568,no-data
10579,no-data
10595,no-data
10612,no-data
10611,no-data
10591,no-data
10615,no-data
10616,no-data
10613,no-data
10617,no-data
10614,no-data
10619,no-data
10618,no-data
10841,no-data
10898,no-data
10918,no-data
10920,no-data
10921,no-data
10825,no-data
10839,no-data
11019,no-data
11021,no-data
11025,no-data
10840,no-data
11041,no-data
11042,no-data
11099,no-data
11087,no-data
11201,no-data
11183,no-data
11200,no-data
11264,no-data
11199,no-data
11314,no-data
11308,no-data
11321,no-data
11344,no-data
11369,no-data
11365,no-data
11343,no-data
11383,no-data
11384,no-data
11345,no-data
11388,no-data
11390,no-data
11389,no-data
11395,no-data
11403,no-data
11402,no-data
11408,no-data
11342,no-data
11410,no-data
11409,no-data
11414,no-data
11415,no-data
11416,no-data
11417,no-data
11418,no-data
11419,no-data
11443,no-data
11420,no-data
11505,no-data
11506,no-data
11424,no-data
11585,no-data
11587,no-data
11444,no-data
11606,no-data
11762,no-data
11938,no-data
11939,no-data
11941,no-data
11903,no-data
11937,no-data
11966,no-data
11940,no-data
11942,no-data
11943,no-data
12142,no-data
12182,no-data
12183,no-data
12187,no-data
12189,no-data
12188,no-data
12211,no-data
12215,no-data
12221,no-data
12222,no-data
12224,no-data
12245,no-data
12246,no-data
12253,no-data
12244,no-data
12255,no-data
12258,no-data
12285,no-data
12290,no-data
12297,no-data
12294,no-data
12298,no-data
12304,no-data
12328,no-data
12329,no-data
12331,no-data
12332,no-data
12333,no-data
12348,no-data
12362,no-data
